thread_id,status,detail,thread_start_time
3963254143,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-02-08 07:47:12.358000+00:00
4013485215,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-02-16 05:52:42.405000+00:00
4033955172,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-02-20 10:24:33.610000+00:00
4041046539,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-02-21 14:18:19.436000+00:00
4046372020,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-02-22 05:21:44.453000+00:00
4046417070,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-02-22 05:15:21.744000+00:00
4046417247,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-02-22 05:18:15.933000+00:00
4046418789,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-02-22 05:47:13.875000+00:00
4057699097,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-02-23 18:05:58.188000+00:00
4070588203,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-02-26 12:48:28.821000+00:00
4089411176,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-03-01 07:54:24.768000+00:00
4094624085,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-03-01 22:49:50.756000+00:00
4109922163,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-03-04 06:57:59.695000+00:00
4120578069,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-03-06 20:13:23.318000+00:00
4141742520,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-03-09 13:10:31.383000+00:00
4151936941,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-03-10 19:44:19.603000+00:00
4159093084,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-03-12 23:03:23.836000+00:00
4174888786,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-03-15 08:48:55.113000+00:00
4202656523,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-03-20 13:31:16.117000+00:00
4206419562,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-03-21 01:58:14.990000+00:00
4210321802,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-03-21 14:43:51.114000+00:00
4213951521,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-03-21 22:32:53.255000+00:00
4214729627,question_not_found,no WELCOME_MESSAGE or MESSAGE matching question text,2023-03-22 02:24:04.871000+00:00
